job_titles,companies,companies_links,location,publish_time,job_level
Senior Odoo Techno-Functional,Confidential,,"Jeddah, Saudi Arabia",5 daysago,Experienced
Odoo Developer,Greenfix Property Care,https://wuzzuf.net/jobs/careers/greenfix-property-care-united-arab-emirates-130433,"Riyadh, Saudi Arabia",14 daysago,Entry Level
ERP Software Developer (Odoo),Urban Ridge Supplies,https://wuzzuf.net/jobs/careers/urban-ridge-supplies-saudi-arabia-130785,"Riyadh, Saudi Arabia",9 daysago,Experienced
Mobile Developer,Diet Watchers,https://wuzzuf.net/jobs/careers/diet-watchers-saudi-arabia-132688,"Riyadh, Saudi Arabia",7 daysago,Not specified
Finance Team Lead,Your Parts,https://wuzzuf.net/jobs/careers/Your-Parts-Egypt-52312,"Riyadh, Saudi Arabia",23 daysago,Manager
